name,price,category,store_name,unit,date
ANWAR LATOR ,149.0,Fruits,Al-Fateh,250 GM,2025-08-30 15:01:56.149453
AVACADO ,4349.0,Fruits,Al-Fateh,1 KG,2025-08-30 15:01:56.149453
BABY PINEAPPLE ,2495.0,Fruits,Al-Fateh,PC,2025-08-30 15:01:56.149453
BANANA IMP ,288.0,Fruits,Al-Fateh,Dozen,2025-08-30 15:01:56.149453
BANANA PK ,240.0,Fruits,Al-Fateh,Dozen,2025-08-30 15:01:56.149453
BLACK GRAPES ,149.0,Fruits,Al-Fateh,250 GM,2025-08-30 15:01:56.149453
BLUE BERRY ,1595.0,Fruits,Al-Fateh,125GM Box,2025-08-30 15:01:56.149453
CHIKO ,108.0,Fruits,Al-Fateh,250 GM,2025-08-30 15:01:56.149453
COCONUT ,529.0,Fruits,Al-Fateh,PC,2025-08-30 15:01:56.149453
DRAGON FRUIT ,1195.0,Fruits,Al-Fateh,PC,2025-08-30 15:01:56.149453
GACHA APPLE ,105.0,Fruits,Al-Fateh,250 GM,2025-08-30 15:01:56.149453
GARMA ,269.0,Fruits,Al-Fateh,3 KG,2025-08-30 15:01:56.149453
GOLDEN APPLE ,88.0,Fruits,Al-Fateh,250 GM,2025-08-30 15:01:56.149453
GUAVA ,83.0,Fruits,Al-Fateh,250 GM,2025-08-30 15:01:56.149453
PAPAYA ,399.0,Fruits,Al-Fateh,1 KG,2025-08-30 15:01:56.149453
PEACH SPECIAL ,110.0,Fruits,Al-Fateh,250 GM,2025-08-30 15:01:56.149453
QANDARI ANAR SPECIAL ,124.0,Fruits,Al-Fateh,250 GM,2025-08-30 15:01:56.149453
SUNDERKHANI GRAPES ,145.0,Fruits,Al-Fateh,250 GM,2025-08-30 15:01:56.149453
SWEET LIME ,288.0,Fruits,Al-Fateh,Dozen,2025-08-30 15:01:56.149453
Sweet Tamarind,695.0,Fruits,Al-Fateh,pck 250g,2025-08-30 15:01:56.149453
ONION Piyaz ,33.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
TOMATO ,60.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
CABBAGE ,75.0,Vegetables,Al-Fateh,500 GM,2025-08-30 15:02:08.873307
FARMI CUCUMBER ,50.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
CAULIFLOWER ,239.0,Vegetables,Al-Fateh,1 KG,2025-08-30 15:02:08.873307
TURNIP ,55.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
GARLIC CHINA ,124.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
GARLIC DESI ,88.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
GINGER ADRAK ,163.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
GREEN CHILLI ,38.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
POTATOALOO OLD ,24.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
ARVI ,43.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
Baby Carrot,2049.0,Vegetables,Al-Fateh,pck,2025-08-30 15:02:08.873307
Baby-Corn,995.0,Vegetables,Al-Fateh,pck,2025-08-30 15:02:08.873307
BEET ROOT ,53.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
BELL PA,399.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
BITTER GOURD ,95.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
BOTTLE GOURD ,140.0,Vegetables,Al-Fateh,500 GM,2025-08-30 15:02:08.873307
BRINJAL ,58.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
BROCCOLI ,325.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
CAPSICUM ,68.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
CARROT CHINA ,50.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
Cherry Tomato Local ,649.0,Vegetables,Al-Fateh,250g,2025-08-30 15:02:08.873307
DESI TENDAY ,98.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
FRENCH BEAN ,98.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
GHIA TORI ,48.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
ICE BERG ,200.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
LEMON DESI ,120.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
MINT ,15.0,Vegetables,Al-Fateh,Bunch,2025-08-30 15:02:08.873307
Mushroom ,295.0,Vegetables,Al-Fateh,150g,2025-08-30 15:02:08.873307
OKRA ,80.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
PEAS ,150.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
PHALIYA PEELED ,88.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
PUMPKIN ,89.0,Vegetables,Al-Fateh,2 KG,2025-08-30 15:02:08.873307
RED CABBAGE ,50.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
ROUND GOURD ,105.0,Vegetables,Al-Fateh,500 GM,2025-08-30 15:02:08.873307
SALAD LEAF ,59.0,Vegetables,Al-Fateh,Bunch,2025-08-30 15:02:08.873307
SPINACH ,23.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
SPRING ONION Sabz Piyaz ,199.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
SWEET POTATO ,50.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
TENDIYA FARMI ,95.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
THAI CHILLI RED ,1099.0,Vegetables,Al-Fateh,100Gm Pack,2025-08-30 15:02:08.873307
FF HAPPY HEN CLASSIC EGGS ,355.0,Eggs,Al-Fateh,12 PCS,2025-08-30 15:02:21.971234
FARM FRESH OMEGA ,450.0,Eggs,Al-Fateh,3 EGGS 12 PCS PACK,2025-08-30 15:02:21.971234
FARM FRESH CLASSIC EGGS ,365.0,Eggs,Al-Fateh,12 PCS PACK,2025-08-30 15:02:21.971234
FF HAPPY HEN CLASSIC EGGS ,180.0,Eggs,Al-Fateh,6 PCS,2025-08-30 15:02:21.971234
FF HAPPY HEN DESI EGGS ,460.0,Eggs,Al-Fateh,12 PCS,2025-08-30 15:02:21.971234
FF HAPPY HEN CLASSIC EGGS ,875.0,Eggs,Al-Fateh,30 PCS,2025-08-30 15:02:21.971234
FF HAPPY HEN OMEGA ,415.0,Eggs,Al-Fateh,3 EGGS L 12 PCS,2025-08-30 15:02:21.971234
FARM FRESH CLASSIC EGGS ,895.0,Eggs,Al-Fateh,30 PCS PACK,2025-08-30 15:02:21.971234
FARM FRESH GOLDEN EGGS ,405.0,Eggs,Al-Fateh,12 PCS PACK,2025-08-30 15:02:21.971234
ORGANIC VALLEY LOHMAN BROWN EGG ECONOMY ,475.0,Eggs,Al-Fateh,12 PC,2025-08-30 15:02:21.971234
ORGANIC VALLEY LOHMAN BROWN EGG FAMILY ,1180.0,Eggs,Al-Fateh,30 PC,2025-08-30 15:02:21.971234
ORGANIC VALLEY LOHMAN BROWN EGG SAVER ,245.0,Eggs,Al-Fateh,6 PC,2025-08-30 15:02:21.971234
LOCAL DESI SUGAR ,175.0,Sugar,Al-Fateh,1 KG,2025-08-30 15:02:30.221985
SHAKKAR ,260.0,Sugar,Al-Fateh,1 KG,2025-08-30 15:02:30.221985
SHAKKAR ,130.0,Sugar,Al-Fateh,500 GM,2025-08-30 15:02:30.221985
GURR ,260.0,Sugar,Al-Fateh,1 KG,2025-08-30 15:02:30.221985
FALAK DESI SHAKKAR JEGGERY POWDER ,495.0,Sugar,Al-Fateh,500GM,2025-08-30 15:02:30.221985
SUNBEAM JAGGERY POWDER POUCH ,635.0,Sugar,Al-Fateh,1 KG,2025-08-30 15:02:30.221985
MOIZ SHAKKAR ,150.0,Sugar,Al-Fateh,500 GM,2025-08-30 15:02:30.221985
NATIONAL IODIZED PINK HIMALAYAN SALT ,99.0,Salt,Al-Fateh,800 GM POUCH,2025-08-30 15:02:42.259257
NATIONAL SALT IODIZED REFINED ,50.0,Salt,Al-Fateh,800 GM,2025-08-30 15:02:42.259257
NATIONAL SALT REFINE TABLE ,50.0,Salt,Al-Fateh,800 GM,2025-08-30 15:02:42.259257
FF SAFAID NAMAK ,50.0,Salt,Al-Fateh,800 GM,2025-08-30 15:02:42.259257
SHAN TAEST VIRGIN PINK HIMALAYAN SALT ,100.0,Salt,Al-Fateh,800 GM,2025-08-30 15:02:42.259257
FF DESI KAALA NAMAK POWDER ,25.0,Salt,Al-Fateh,100 GM,2025-08-30 15:02:42.259257
SHAN SALT PURE REFINED ,75.0,Salt,Al-Fateh,800 GM,2025-08-30 15:02:42.259257
BLACK SALT POWDER ,15.0,Salt,Al-Fateh,100 GM,2025-08-30 15:02:42.259257
FALAK HIMALAYN PINK SALT ,65.0,Salt,Al-Fateh,400 GM,2025-08-30 15:02:42.259257
SHAN SALT IODIZED ,75.0,Salt,Al-Fateh,800 GM,2025-08-30 15:02:42.259257
DAALI ROCK SALT POWDER ,60.0,Salt,Al-Fateh,800 GM,2025-08-30 15:02:42.259257
FALAK KALA NAMAK ,95.0,Salt,Al-Fateh,120 GM BASIC,2025-08-30 15:02:42.259257
SIMPLE SALT ,40.0,Salt,Al-Fateh,1 KG,2025-08-30 15:02:42.259257
DAALI PINK ROCK SALT ,90.0,Salt,Al-Fateh,200 GM,2025-08-30 15:02:42.259257
FALAK ARABIAN SEA SALT ,95.0,Salt,Al-Fateh,400GM,2025-08-30 15:02:42.259257
FALAK HIMALAYAN SALT PINK ROCK ,475.0,Salt,Al-Fateh,200 GM BASIC,2025-08-30 15:02:42.259257
FALAK HIMALAYN FINE PINK SALT BOTTLE ,95.0,Salt,Al-Fateh,150 GM,2025-08-30 15:02:42.259257
FRESHMATE KALA NAMAK ,134.0,Salt,Al-Fateh,120 GM,2025-08-30 15:02:42.259257
FALAK LOW SODIUM SALT ,330.0,Salt,Al-Fateh,400GM,2025-08-30 15:02:42.259257
FALAK CHILLI GARLIC PINK SALT ,545.0,Salt,Al-Fateh,150 GM,2025-08-30 15:02:42.259257
FALAK LOW SODIUM SALT ,85.0,Salt,Al-Fateh,150GM,2025-08-30 15:02:42.259257
FRESH ST SMOKED SALT COARSE ,720.0,Salt,Al-Fateh,90GM,2025-08-30 15:02:42.259257
FRESH ST HIMALAYAN PINK SALT ROSEMARY ,375.0,Salt,Al-Fateh,125GM,2025-08-30 15:02:42.259257
BLACK SALT POWDER ,150.0,Salt,Al-Fateh,1 KG BASIC,2025-08-30 15:02:42.259257
DALDA COOKING OIL POUCH ,565.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
SUFI CANOLA COOKING OIL POUCH ,550.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
CANOLIVE PREMIUM CANOLA OIL POUCH ,575.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
